COUNTY,STNAME,CTYNAME,POPESTIMATE2020,POPESTIMATE2021
115,FL,Sarasota County,435664,447057
117,FL,Seminole County,471058,470093
119,FL,Sumter County,130897,135638
121,FL,Suwannee County,43510,44485
123,FL,Taylor County,21760,21815
125,FL,Union County,16126,16335
127,FL,Volusia County,554901,564412
129,FL,Wakulla County,33907,34690
131,FL,Walton County,75855,80069
133,FL,Washington County,25357,25436
0,GA,Georgia,10725800,10799566
1,GA,Appling County,18428,18488
3,GA,Atkinson County,8301,8391
5,GA,Bacon County,11123,11079
7,GA,Baker County,2844,2819
9,GA,Baldwin County,43773,43781
11,GA,Banks County,18069,18562
13,GA,Barrow County,83963,86658
15,GA,Bartow County,109311,110843
17,GA,Ben Hill County,17153,17158
19,GA,Berrien County,18159,18147
21,GA,Bibb County,157104,156762
23,GA,Bleckley County,12577,12607
25,GA,Brantley County,18040,18101
27,GA,Brooks County,16232,16270
29,GA,Bryan County,44999,46938
31,GA,Bulloch County,81378,82442
33,GA,Burke County,24621,24310
35,GA,Butts County,25542,25781
37,GA,Calhoun County,5560,5509
39,GA,Camden County,54911,55664
43,GA,Candler County,11001,11037
45,GA,Carroll County,119463,121968
47,GA,Catoosa County,67976,68397
49,GA,Charlton County,12530,12766
51,GA,Chatham County,294904,296329
53,GA,Chattahoochee County,9482,9048
55,GA,Chattooga County,24921,24932
57,GA,Cherokee County,268043,274615
59,GA,Clarke County,128489,128711
61,GA,Clay County,2835,2882
63,GA,Clayton County,297417,297100
65,GA,Clinch County,6723,6725
67,GA,Cobb County,766209,766802
69,GA,Coffee County,43047,43386
71,GA,Colquitt County,45866,45812
73,GA,Columbia County,156773,159639
75,GA,Cook County,17232,17225
77,GA,Coweta County,146653,149956
79,GA,Crawford County,12100,12153
81,GA,Crisp County,20042,19879
83,GA,Dade County,16224,16326
85,GA,Dawson County,27047,28497
87,GA,Decatur County,29338,29038
89,GA,DeKalb County,763831,757718
91,GA,Dodge County,19849,19759
93,GA,Dooly County,11142,10885
95,GA,Dougherty County,85366,84844
97,GA,Douglas County,144497,145814
99,GA,Early County,10813,10619
101,GA,Echols County,3696,3699
103,GA,Effingham County,65150,66741
105,GA,Elbert County,19627,19579
107,GA,Emanuel County,22730,22716
109,GA,Evans County,10757,10672
111,GA,Fannin County,25396,25817
113,GA,Fayette County,119441,120574
115,GA,Floyd County,98593,98771
117,GA,Forsyth County,252786,260206
119,GA,Franklin County,23429,23785
121,GA,Fulton County,1069023,1065334
123,GA,Gilmer County,31429,32026
125,GA,Glascock County,2883,2919
127,GA,Glynn County,84470,84739
129,GA,Gordon County,57696,58237
131,GA,Grady County,26221,25918
133,GA,Greene County,19025,19536
135,GA,Gwinnett County,957801,964546
137,GA,Habersham County,46105,46774
139,GA,Hall County,203589,207369
141,GA,Hancock County,8722,8630
143,GA,Haralson County,29985,30572
145,GA,Harris County,34927,35626
147,GA,Hart County,25866,26409
149,GA,Heard County,11465,11565
151,GA,Henry County,241818,245235
153,GA,Houston County,164242,166829
155,GA,Irwin County,9643,9618
157,GA,Jackson County,76712,80286
159,GA,Jasper County,14638,15278
161,GA,Jeff Davis County,14777,14872
163,GA,Jefferson County,15658,15524
165,GA,Jenkins County,8662,8639
167,GA,Johnson County,9168,9160
169,GA,Jones County,28356,28400
171,GA,Lamar County,18550,19080
173,GA,Lanier County,9916,9907
175,GA,Laurens County,49497,49547
177,GA,Lee County,33179,33411
179,GA,Liberty County,65220,65711
181,GA,Lincoln County,7704,7749
183,GA,Long County,16287,17152
185,GA,Lowndes County,118316,119276
187,GA,Lumpkin County,33596,34278
189,GA,McDuffie County,21587,21633
191,GA,McIntosh County,10982,11123
193,GA,Macon County,12021,12004
195,GA,Madison County,30263,30885
197,GA,Marion County,7520,7440
199,GA,Meriwether County,20619,20793
201,GA,Miller County,5987,5919
205,GA,Mitchell County,21677,21521
207,GA,Monroe County,28046,28712
209,GA,Montgomery County,8577,8653
211,GA,Morgan County,20174,20635
213,GA,Murray County,39938,39951
215,GA,Muscogee County,206960,205617
217,GA,Newton County,112780,115355
219,GA,Oconee County,42021,43023
221,GA,Oglethorpe County,14865,15140
223,GA,Paulding County,169660,173780
225,GA,Peach County,28035,28417
227,GA,Pickens County,33333,34024
229,GA,Pierce County,19722,19976
231,GA,Pike County,18935,19477
233,GA,Polk County,42925,43496
235,GA,Pulaski County,9863,9917
237,GA,Putnam County,22140,22585
239,GA,Quitman County,2224,2243
241,GA,Rabun County,16894,17119
243,GA,Randolph County,6377,6287
245,GA,Richmond County,206328,205673
247,GA,Rockdale County,93614,94082
249,GA,Schley County,4538,4478
251,GA,Screven County,14060,14105
253,GA,Seminole County,9138,9197
255,GA,Spalding County,67413,67909
257,GA,Stephens County,26800,26865
259,GA,Stewart County,5295,5341
261,GA,Sumter County,29553,29283
263,GA,Talbot County,5731,5742
265,GA,Taliaferro County,1557,1558
267,GA,Tattnall County,22852,23052
269,GA,Taylor County,7814,7799
271,GA,Telfair County,12461,12414
273,GA,Terrell County,9153,8964
275,GA,Thomas County,45766,45842
277,GA,Tift County,41348,41212
279,GA,Toombs County,27052,26911
281,GA,Towns County,12539,12875
283,GA,Treutlen County,6390,6306
285,GA,Troup County,69388,69720
287,GA,Turner County,8971,8966
289,GA,Twiggs County,7986,7856
291,GA,Union County,24766,25521
293,GA,Upson County,27712,27720
295,GA,Walker County,67711,68510
297,GA,Walton County,97135,99853
299,GA,Ware County,36218,36033
301,GA,Warren County,5205,5240
303,GA,Washington County,19927,19785
305,GA,Wayne County,30155,30380
307,GA,Webster County,2350,2367
309,GA,Wheeler County,7430,7471
311,GA,White County,28090,28442
313,GA,Whitfield County,102727,102848
315,GA,Wilcox County,8731,8739
317,GA,Wilkes County,9556,9513
319,GA,Wilkinson County,8844,8831
321,GA,Worth County,20719,20554
0,HI,Hawaii,1451911,1441553
1,HI,Hawaii County,200746,202906
3,HI,Honolulu County,1013227,1000890
5,HI,Kalawao County,82,82
7,HI,Kauai County,73201,73454
9,HI,Maui County,164655,164221
0,ID,Idaho,1847772,1900923
1,ID,Ada County,497984,511931
3,ID,Adams County,4424,4625
5,ID,Bannock County,87177,88263
7,ID,Bear Lake County,6370,6545
9,ID,Benewah County,9576,9931
11,ID,Bingham County,48068,48876
13,ID,Blaine County,24327,24766
15,ID,Boise County,7647,8094
17,ID,Bonner County,47390,49491
19,ID,Bonneville County,124626,127930
21,ID,Boundary County,12113,12561
23,ID,Butte County,2577,2654
25,ID,Camas County,1089,1139
27,ID,Canyon County,232714,243115
29,ID,Caribou County,7015,7111
31,ID,Cassia County,24699,25164
33,ID,Clark County,792,792
35,ID,Clearwater County,8750,8895
37,ID,Custer County,4266,4428
39,ID,Elmore County,28668,28827
41,ID,Franklin County,14269,14666
43,ID,Fremont County,13404,13592
45,ID,Gem County,19258,19792
47,ID,Gooding County,15643,15772
49,ID,Idaho County,16561,17040
51,ID,Jefferson County,31055,32202
53,ID,Jerome County,24222,24662
55,ID,Kootenai County,172646,179789
57,ID,Latah County,39611,40313
59,ID,Lemhi County,7948,8162
61,ID,Lewis County,3531,3715
63,ID,Lincoln County,5133,5282
65,ID,Madison County,52876,53881
67,ID,Minidoka County,21674,21955
69,ID,Nez Perce County,42088,42454
71,ID,Oneida County,4554,4611
73,ID,Owyhee County,11978,12336
75,ID,Payette County,25589,26350
77,ID,Power County,7879,7950
79,ID,Shoshone County,13189,13612
81,ID,Teton County,11731,12267
83,ID,Twin Falls County,90279,92243
85,ID,Valley County,11838,12241
87,ID,Washington County,10544,10898
0,IL,Illinois,12785245,12671469
1,IL,Adams County,65530,64954
3,IL,Alexander County,5168,5030
5,IL,Bond County,16663,16596
7,IL,Boone County,53326,53159
9,IL,Brown County,6217,6421
11,IL,Bureau County,33118,32883
13,IL,Calhoun County,4411,4369
15,IL,Carroll County,15664,15698
17,IL,Cass County,12956,12773
19,IL,Champaign County,205469,205943
21,IL,Christian County,33900,33662
23,IL,Clark County,15407,15300
25,IL,Clay County,13267,13143
27,IL,Clinton County,36896,36793
29,IL,Coles County,46737,46765
31,IL,Cook County,5262741,5173146
33,IL,Crawford County,18639,18659
35,IL,Cumberland County,10428,10345
37,IL,DeKalb County,100233,100414
39,IL,DeWitt County,15441,15341
41,IL,Douglas County,19742,19722
43,IL,DuPage County,931153,924885
45,IL,Edgar County,16755,16520
47,IL,Edwards County,6205,6075
49,IL,Effingham County,34614,34430
51,IL,Fayette County,21460,21384
53,IL,Ford County,13533,13511
55,IL,Franklin County,37636,37442
57,IL,Fulton County,33440,33197
59,IL,Gallatin County,4947,4903
61,IL,Greene County,11915,11843
63,IL,Grundy County,52514,52989
65,IL,Hamilton County,7977,7911
67,IL,Hancock County,17552,17400
69,IL,Hardin County,3634,3650
71,IL,Henderson County,6339,6312
73,IL,Henry County,49138,48907
75,IL,Iroquois County,26984,26827
77,IL,Jackson County,52896,52565
79,IL,Jasper County,9247,9193
81,IL,Jefferson County,37029,36877
83,IL,Jersey County,21444,21333
85,IL,Jo Daviess County,22035,21939
87,IL,Johnson County,13307,13463
89,IL,Kane County,516155,515588
91,IL,Kankakee County,107236,106601
93,IL,Kendall County,132291,134867
95,IL,Knox County,49736,49268
97,IL,Lake County,713217,711239
