StateName,RegionName,pop20,JulyValue20,pop21,JulyValue21
GA,"Calhoun County",5560,58798,5509,63401
GA,"Newton County",112780,184456,115355,218471
GA,"Bartow County",109311,199236,110843,235570
GA,"Macon County",12021,53782,12004,59899
GA,"Whitfield County",102727,149251,102848,176970
GA,"Oglethorpe County",14865,167657,15140,192699
GA,"Dooly County",11142,84460,10885,95086
GA,"Clarke County",128489,204563,128711,236003
GA,"Oconee County",42021,350074,43023,373032
GA,"Fayette County",119441,320670,120574,361149
GA,"Sumter County",29553,85168,29283,93683
GA,"Jeff Davis County",14777,91611,14872,104346
GA,"Rabun County",16894,236948,17119,269982
GA,"Stewart County",5295,46637,5341,51059
GA,"Ware County",36218,82203,36033,93904
GA,"Lowndes County",118316,134480,119276,153659
GA,"Brooks County",16232,119919,16270,133920
HI,"Honolulu County",1013227,720076,1000890,813147
HI,"Maui County",164655,730201,164221,800381
HI,"Kauai County",73201,639998,73454,692153
HI,"Hawaii County",200746,397058,202906,457360
IA,"Lucas County",8615,92425,8710,98396
IA,"Marion County",33377,166610,33380,181937
IA,"Lyon County",11917,146455,12011,161928
IA,"Washington County",22511,152603,22491,164717
IA,"Sioux County",35869,188320,35893,203828
IA,"Audubon County",5671,83365,5635,88791
IA,"Scott County",174488,172474,174170,186603
IA,"Page County",15180,83664,15197,90858
IA,"Linn County",230263,167472,228939,186292
IA,"Warren County",52548,212703,53402,234779
IA,"Cherokee County",11632,112310,11503,121803
IA,"Shelby County",11699,131347,11770,141591
IA,"Madison County",16626,195216,16773,213549
IA,"Adair County",7477,101684,7541,109833
IA,"Hamilton County",15020,107744,14887,118508
IA,"Davis County",9109,142885,9138,149968
IA,"Kossuth County",14786,106116,14529,110941
IA,"Mahaska County",22148,121041,21984,128226
IA,"Wapello County",35341,79539,35256,85592
IA,"Cedar County",18495,172459,18410,182395
IA,"Lee County",33512,93250,33215,100527
IA,"Worth County",7425,111002,7385,120584
IA,"Taylor County",5861,81253,5868,88740
IA,"Van Buren County",7204,101457,7243,110719
IA,"Dallas County",100486,267920,103796,293084
IA,"Monona County",8742,92639,8574,101118
IA,"Louisa County",10806,108760,10749,117488
IA,"Clarke County",9726,116382,9785,127158
IA,"Mills County",14405,184911,14465,200759
IA,"Hancock County",10757,107645,10663,117767
IA,"Jasper County",37802,132511,37764,144591
IA,"Harrison County",14546,129574,14669,139742
IA,"Winneshiek County",20031,186130,19892,203839
IA,"Floyd County",15552,110195,15413,118352
IA,"Wayne County",6509,83701,6508,89150
IA,"Fremont County",6560,110117,6567,118039
IA,"Osceola County",6189,94905,6159,101498
IA,"Greene County",8746,96865,8717,101740
IA,"Buchanan County",20586,143523,20657,154220
IA,"Palo Alto County",8961,106217,8906,112643
IA,"Clinton County",46418,166304,46463,146419
IA,"Clayton County",16996,128675,16998,137122
IA,"Butler County",14311,131708,14332,141185
IA,"Woodbury County",105829,131730,105607,145464
IA,"Fayette County",19399,106382,19258,113116
IA,"Carroll County",20702,141525,20692,151642
IA,"Poweshiek County",18643,153641,18586,165907
IA,"Webster County",36954,93800,37147,103227
IA,"Jones County",20647,152098,20805,164450
IA,"Howard County",9487,112845,9478,121865
IA,"Calhoun County",9886,89625,9915,95564
IA,"Bremer County",24974,172839,25081,186025
IA,"Iowa County",16679,163990,16568,175447
IA,"Polk County",492769,208199,496844,232798
IA,"Humboldt County",9595,110615,9634,123316
IA,"Tama County",17072,116198,16867,122321
IA,"Buena Vista County",20776,127204,20771,136296
IA,"Decatur County",7610,80245,7659,83957
IA,"Henry County",20412,126086,20387,136275
IA,"Chickasaw County",11970,132551,11887,143131
IA,"Grundy County",12312,151424,12347,163104
IA,"Union County",12097,92604,12018,98581
IA,"Dickinson County",17747,244103,17851,266037
IA,"Emmet County",9332,86455,9321,93736
IA,"Boone County",26691,147630,26723,160216
IA,"O Brien County",14154,108941,14015,118805
IA,"Delaware County",17458,163622,17510,175954
IA,"Sac County",9791,96157,9752,106668
IA,"Clay County",16333,132148,16440,141012
IA,"Plymouth County",25681,173791,25650,186947
IA,"Allamakee County",14067,147480,13926,159601
IA,"Keokuk County",9995,87154,9914,92349
IA,"Des Moines County",38831,108473,38491,115587
IA,"Marshall County",40059,113260,39853,121790
IA,"Pocahontas County",7075,72390,7074,78917
IA,"Ringgold County",4639,139573,4639,142829
IA,"Jefferson County",15659,128146,15647,135299
IA,"Franklin County",9983,92063,9952,100664
IA,"Monroe County",7582,110831,7610,122312
IA,"Cass County",13104,99050,13050,106764
IA,"Jackson County",19437,147520,19368,159131
IA,"Montgomery County",10335,82195,10322,88735
IA,"Adams County",3697,107312,3641,111794
IA,"Mitchell County",10582,128611,10555,139060
IA,"Crawford County",16453,109084,16193,116400
IA,"Hardin County",16821,93221,16708,105812
IA,"Story County",98615,197703,99472,0
IA,"Dubuque County",99229,189825,98718,206204
IA,"Cerro Gordo County",42965,127416,42706,137809
IA,"Winnebago County",10650,108155,10656,116203
IA,"Guthrie County",10612,145611,10567,156569
IA,"Pottawattamie County",93560,157358,93304,174910
IA,"Benton County",25536,160403,25691,172951
IA,"Johnson County",152984,247194,154748,256882
IA,"Ida County",7007,78691,6956,84599
IA,"Muscatine County",43113,140625,42688,152026
IA,"Appanoose County",12282,80469,12257,87064
